ItemID,SentimentText,Sentiment
280,   thrilled about being at work this morning   ,1
281,   we break dance not hearts by Short Stack is my ringtone.... i LOVE that song!!!.....,1
282,   www.apple.com/iphone now has it for the 18th   ,0
283,  #squarespace #trackle  no apple iphone card for us  maybe tomorrow! I guess it helps if you tweet it huh?  We forgot ,0
284,  (unsure)  (hassle)  (:  (music) http://plurk.com/p/yq08l,0
285,                                           exhausted,0
286,          i want some ben&amp;jerrys cake batter please ugh,0
287,          my life is very lazzzzyyyy!!!!!!!            ***********,1
288,"        wish ella was on or somebody,,,,",0
289,       ish in a good mood .....tlk to me,1
290,      i think i'm going to go 3 a long drive then when i get to the pacific ocean open my car door and throw my pc in the ocean,0
291,      what the hell BBC?,0
292,     #canucks,0
293,     I dont like this weekend.. Huhuhu ( (,0
294,     I'll get on it right away!,0
295,-     J + A MADE NiCE..... TWiCE!                     for now ;],1
296,     loves life atm!   its brilliant XD,1
297,     who else is in a happy mood?? =D,1
298,    !BYE EVERYONE!   ,1
299,    ...lonely night,0
300,    blue does not work      ,0
301,    geez I'm feeling their pain,0
302,    i miss my summertime daley.,0
303,"    on the computer ... . . . . . . *ill*    lol,       no fuckin goin to portugal        ",0
304,    SO FAR SO GOOD!,1
305,    TODAY WAS A GREAT DAY!!!,1
306,    UGHHHHHHHHHHHHHHHHHHHHHHHHHHHHH,0
307,   #Battleground,0
308,"   a lot, a lot, a lot, a lot, a lot, a lot, a lot, a lot, a lot, a lot, a lot, a lot.",1
309,   Awwwwwh  i wanted Aiden Davis 2 WIN  i &lt;3 him so bummed he didnt ,0
310,   Curtain drops at the Crown Uptown after 32 ye http://www.kansas.com/news/featured/story/860875.html,0
311,   eh  must leave New Mexico and soon!,0
312,   fail maths  i knew it i was just too slow ,0
313,"   From Gongwer OH Report, sounds like leadership still considering library cuts, not considering tax increases. #saveohiolibraries",0
314,   fuck sake. Why can things never work out for me?,0
315,"-   going in town toda? with m? cousinnn, [?]     netball match was cancelledd ",0
316,   hoping to see my baby girl,0
317,   i don't even know.,0
318,   I just lost a member of my family ,0
319,   I'm SICK of bedtime battles   ,0
320,   i'm so cold this morning......       i have chills all over.....   ,0
321,   Just... ,0
322,   No no no. Tonight goes on the books as the worst SYTYCD results show.,0
323,   no shopping   ,0
324,"  - Poor lil mousey, just out enjoying the sunny day. I don't think I'd feel so bad if it was a big gnarly rat though. Dbl standard? Yep.",0
325,  -- that's an EPIC sad face.,0
326,   This magazine story just broke my heart at the dentist's office today:  http://tinyurl.com/ngbq2c,0
327,   Tiger Woods is up by 2at 18 via http://nascar.com/racebuddy,1
328,   wanna go meet wifey but can't....  this sux   :'(,0
329,   Wondering why I feel like I do...I'll feel better though...Its all good! I'll be happy inspite of...Tweet ya lata ,0
330,"   yippeeeee yay lets gather in the hay...HIS LOVE FOUND IT'S WAY+ boy,it's Gonna STAY added 2 the Master's HOLY WAY: ALL HIS WILL+WAY",1
331,  #IranElection - no one realizes how deep this goes.,0
332,  &gt;. Bodies from Air France crash have been found  http://twurl.nl/dvu8be (via @Paisano ),0
333,"  &lt; that is the story of my life, a whole bunch of frownies!",0
334,               I HAVE NOOOOOOOOOO FRIENDS ON TWITTER IT MAKES ME SAD WILL SOMEONE FOLLOW ME      ,0
335,             i just want to hear from you. i guess that's asking too much..,0
336,       Hardest working chica i know( mii boss lady) @MoneyAceweather (look up to her seriously) lOl,1
337,       i really2 don't like this condition. sucksssssss,0
338,"       Orlando Lost  The Series. Oh Well, Maybe Phoenix, Or Boston, Or Cleveland (The Teams I Like) Will Make It Next Year!",0
339,      rinitis sucks!!!!!,0
340,      thanks for being the bestttttttttttttttttttt J-dawg,1
341,     &gt;( &gt;(  i'm mad and sad right now. Played so terrible today in both soccer and basketball.,0
342,     &lt;- but mustache man is not that desperate,0
343,     &lt;--------- my face because i'm missing zoro tonight.,0
344,     @riceuniversiity I know huh @Kouture85 Im bout to cry@Ahmier thanks Marco! *muah*,0
345,     angry,0
346,     praise God for this beautiful day!!!     ,1
347,     sry matt 2 hear that (,0
348,     what the fucccckkkkkkkkkk,0
349,    Bye World!!!!!!,0
350,    i couldnt even have one fairytale night,0
351,    I'll be working when Pottercast/Lupins/Willows come near me.  FAIL.,0
352,"    My cell phone screen is dead.  Sooooooooooo, no texts and I don't know who's calling.  Fuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuck",0
353,"    NO MORE SICKNESS. strike i say STRIKE! ohhhh well, 'nother day off school i guess",0
354,    Nobody likes Year One in the reviews I've read. I'm disappointed. But maybe now I'll like it more since I'm not expecting much..,0
355,   (must i say more?),0
356,   *old me's dead and gone*,0
357,   ... have to go now ??? 13 more minutes   ... please please please,0
358,   @Lakers!! I love you guyssss! Those rings.. Mmmyeahh! Bling blingg,1
359,   @PERFEKTnCHANCE (Chance) is Boo #29,1
360,   @Standing_Stones  Thank you very much for the DVD suggestion!  Very nice of you!  Looks good.,1
361,   awwwww i really hate this.,0
362,   bad day.,0
363,   bad day.....damn you @311. What kind of ticket sale was that.....,0
364,   Boston Globe could be shut down in 60 days http://sbne.ws/r/vWc,0
365,   bye guys!!!! i'ma miss ya'll sooo sooo much! but don't worry i'll be back on monday!!! have an awesome weekend!!! peace!!!!,0
366,   can i have some followers :' ( ... i'm so sad...    NOW THAT I'M LOSING HOPE -pressure,0
367,   Couldn't bless'd da mic w/ my bra's in music 2day @ERiceOnTheBeat @moneybagzfam1st @circustk,0
368,   CRY CRY CRY   ,0
369,   F**kn day...,0
370,   Goodnight   ,0
371,   grandma is very sick. not doing well. going to the emergency room.,0
372,   had a WONDERFUL day  G_D is GRRRRRRRRREAT!!!!!     ,1
373,   I am going to shed tears if the Cavs have to go home tonight. Like seriously,0
374,   i am soooo sad...at this point of night i'd be cuddling with jonathan like i did for 4 years,0
375,   I hate you forever.,0
376,   I have passed 70-542 exam today   ,1
377,   i missed it,0
378,   i still Feel like a Douchebag,0
379,   I want to write a song. I think I will.,1
380,- @serialseb Always thought time estimates should use 'value of Pi rule' (x 3.14). Only exception being 'Pi squared rule'. ,1
381, @SirKenRobinson Creativity via Twitter http://bit.ly/HVTHS,1
382,"- @SlashHudson you tease, i wanna hear the tracks!! ",1
383, @sommacolada never answering my im's,0
384, @soultravelers3 http://bit.ly/H9Nqe  15 TravelTips 4 student safety in roughplaces,1
385, @squarespace it's now fathers day and you haven't picked me...yet. I kind of want to incessantly bother you...#squarespace,0
386, @SRenaeNae... What is 'FML',1
387, @sweetlilmzmia: &quot;Gotta LOVE Blip.fm - John Mayer Trio - CALIFORNIA DREAMIN' as heard on Conan 06/04/2009 ---... ? http://blip.fm/~7qdf0,1
388, @Thatsrightnate ~ Just in case you need some help w that:  http://bit.ly/12nP1H,1
389, @THEDIAMONDCOACH  Im sure he'd love that LOL,1
390, @theenglishmuse on &quot;Karl Lagerfeld&quot; 's Twitter profile(s) lol!  Heart the first pic http://tinyurl.com/cbl6tm,1
391, @TheIanCrawford is no longer in the Cab. To say I'm heartbroken is an understatement... good luck with everything! you're amazing ian.,0
392, @va_songstress broke my twitter..,0
393, @warbo is off clubbing... must come over to sheffield sometime &amp; party but really probably shouldn't atm. a tech conference is a conf etc,0
394," @weselec My avatar can't figure out what you people are, either. http://tr.im/jj70",1
395, @xxkirahxx is fulfilling my life's ambition 2 go 2 a Jonas Brothers concert + I went 2 HMV and the new album is already sold out! Why me?,0
396," @yhf What happened to movies, anyway? It's like Hollywood forgot: in rough times, the public wants to see.. http://tr.im/mZ8l",1
397, @zochula just yelled at me for picking apple store over food.,0
398, @ZOEBOE: &quot;whoops credit is due to   &gt;&gt;&gt;rb@MusicIsMySunshine:  &quot; ? http://blip.fm/~7d4pk,1
399, =&gt; How not to exit a Cessna 206 #skydiving http://bit.ly/16ZZJ7,1
400, 1 of me cats kittens died only 3 days old too..RIP ming.,0
401, 1 week before the palm pre comes out and my centro dies. I have a temp phone but my contacts aren't transfered yet. #sadpanda #fb,0
402,"- 20 chicken mcnuggets, 2 double cheeseburgers, large fries, and a lemonade for dinner. Why you may ask? Because I hate my body. ",1
403, 3 hrs on da phone...lol dude is hilarious,0
404,- 400th tweet (!) breakfast: everything bagel toasted w/cream cheese with an iced cap... delish ,1
405, 5 gb of video to upload to utube :O dam sony vegas making it so big ,0
406, 50% of the new footwear labeling norm is definitions that are never referred to in the document. Who wrote this up?,0
407, a big angry spider was crawling in my blankeys  i flicked it to the floor and cant sleep now,0
408, A blessed sunday everyone!,1
409,=- A couple years of sickness all piled up to this one day,0
410, A dog riding the bicycle http://bit.ly/gvMzD,1
411," a fly just landed in my green chile stew. i've never been big on killing bugs, but this asshole asked for it. There goes my appetite",0
412, A problem shared is a buck passed,1
413, A_ just got the same handshake in her meeting. Vibe here sucks,0
414, ???????? hitech,1
415,  (Jonah:whats a tweet!?) SHARON!!!!!!!!!!!!,0
416,  alice is beating be at my scooby doo board game!,0
417,  am quite tired can't wait till wwe at burswood &lt;3,1
418,  anyone have any advice on how to cope with a break up?,0
419,"  arrrrrrrgggggggghhhhhhhh!!!!!!!!!!  that's it, all lines of communications are temporarily suspended! ",0
420,"=-  awake, and ready for the day",1
421,  Being NASTY in the studio with my woman!!!  Go SLEEPIES!!!,1
422,  but i understand.,0
423,  cars being inspected today gonna cost me over 600 dollars ,0
424,  e is OUT!,0
425,  everythings wrong.,0
426,  Exercise 2 build muscle mass is only thing that speeds metabolism: http://tinyurl.com/bvagbj,0
